おいつく,2033,2496,11351,動詞,一般,*,*,文語四段-カ行,終止形-一般,オイヅク,老い付く,老いつく,オイズク,オイヅク,和,老いつく,オイズク,オイヅク,オイヅク,*,*,*,*,*,*,3,C1,*
おいつく,2035,2502,10416,動詞,一般,*,*,文語四段-カ行,連体形-一般,オイヅク,老い付く,老いつく,オイズク,オイヅク,和,老いつく,オイズク,オイヅク,オイヅク,*,*,*,*,*,*,3,C1,*
おいつき,2039,2514,9960,動詞,一般,*,*,文語四段-カ行,連用形-一般,オイヅク,老い付く,老いつき,オイズキ,オイヅキ,和,老いつく,オイズク,オイヅク,オイヅク,*,*,*,*,*,*,3,C1,*
おいつい,2037,2508,11267,動詞,一般,*,*,文語四段-カ行,連用形-イ音便,オイヅク,老い付く,老いつい,オイズイ,オイヅイ,和,老いつく,オイズク,オイヅク,オイヅク,*,*,*,*,*,*,3,C1,*
をいつけ,2025,2472,11070,動詞,一般,*,*,文語四段-カ行,命令形,オイヅク,老い付く,老いつけ,オイズケ,オイヅケ,和,老いつく,オイズク,オイヅク,オイヅク,*,*,*,*,*,*,3,C1,*
をいつけ,2027,2478,12520,動詞,一般,*,*,文語四段-カ行,已然形-一般,オイヅク,老い付く,老いつけ,オイズケ,オイヅケ,和,老いつく,オイズク,オイヅク,オイヅク,*,*,*,*,*,*,3,C1,*
をいつか,2031,2490,11856,動詞,一般,*,*,文語四段-カ行,未然形-一般,オイヅク,老い付く,老いつか,オイズカ,オイヅカ,和,老いつく,オイズク,オイヅク,オイヅク,*,*,*,*,*,*,3,C1,*
をいつく,2033,2496,11351,動詞,一般,*,*,文語四段-カ行,終止形-一般,オイヅク,老い付く,老いつく,オイズク,オイヅク,和,老いつく,オイズク,オイヅク,オイヅク,*,*,*,*,*,*,3,C1,*
をいつく,2035,2502,10416,動詞,一般,*,*,文語四段-カ行,連体形-一般,オイヅク,老い付く,老いつく,オイズク,オイヅク,和,老いつく,オイズク,オイヅク,オイヅク,*,*,*,*,*,*,3,C1,*
をいつき,2039,2514,9960,動詞,一般,*,*,文語四段-カ行,連用形-一般,オイヅク,老い付く,老いつき,オイズキ,オイヅキ,和,老いつく,オイズク,オイヅク,オイヅク,*,*,*,*,*,*,3,C1,*
をいつい,2037,2508,11267,動詞,一般,*,*,文語四段-カ行,連用形-イ音便,オイヅク,老い付く,老いつい,オイズイ,オイヅイ,和,老いつく,オイズク,オイヅク,オイヅク,*,*,*,*,*,*,3,C1,*
いひやれ,2151,2698,10592,動詞,一般,*,*,文語四段-ラ行,命令形,イイヤル,言い遣る,言ひやれ,イーヤレ,イヒヤレ,和,言ひやる,イーヤル,イヒヤル,イイヤル,*,*,*,*,*,*,3,C1,*
いひやれ,2153,2706,12985,動詞,一般,*,*,文語四段-ラ行,已然形-一般,イイヤル,言い遣る,言ひやれ,イーヤレ,イヒヤレ,和,言ひやる,イーヤル,イヒヤル,イイヤル,*,*,*,*,*,*,3,C1,*
いひやら,2157,2722,13260,動詞,一般,*,*,文語四段-ラ行,未然形-一般,イイヤル,言い遣る,言ひやら,イーヤラ,イヒヤラ,和,言ひやる,イーヤル,イヒヤル,イイヤル,*,*,*,*,*,*,3,C1,*
いひやる,2159,2730,11498,動詞,一般,*,*,文語四段-ラ行,終止形-一般,イイヤル,言い遣る,言ひやる,イーヤル,イヒヤル,和,言ひやる,イーヤル,イヒヤル,イイヤル,*,*,*,*,*,*,3,C1,*
いひやる,2161,2738,10066,動詞,一般,*,*,文語四段-ラ行,連体形-一般,イイヤル,言い遣る,言ひやる,イーヤル,イヒヤル,和,言ひやる,イーヤル,イヒヤル,イイヤル,*,*,*,*,*,*,3,C1,*
いひやり,2163,2746,11309,動詞,一般,*,*,文語四段-ラ行,連用形-一般,イイヤル,言い遣る,言ひやり,イーヤリ,イヒヤリ,和,言ひやる,イーヤル,イヒヤル,イイヤル,*,*,*,*,*,*,3,C1,*
